"Jaar","Maand","T"
1965,"4",8.3
1966,"4",9.5
1967,"4",7.9
1968,"4",9.9
1969,"4",8.6
1970,"4",6.2
1971,"4",8.9
1972,"4",8
1973,"4",6.7
1974,"4",10.2
1975,"4",7.8
1976,"4",8.3
1977,"4",6.7
1978,"4",7.7
1979,"4",8.2
1980,"4",8.4
1981,"4",9.1
1982,"4",8.5
1983,"4",9.3
1984,"4",9.1
1985,"4",9
1986,"4",6.6
1987,"4",11.9
1988,"4",9.6
1989,"4",7.6
1990,"4",8.9
1991,"4",8.9
1992,"4",9.2
1993,"4",11.8
1994,"4",9
1995,"4",9.1
1996,"4",10.7
1997,"4",8.5
1998,"4",9.3
1999,"4",10.1
2000,"4",10.5
2001,"4",8.5
2002,"4",9.9
2003,"4",10.7
2004,"4",11.1
2005,"4",10.7
2006,"4",9.3
2007,"4",14.3
2008,"4",9.3
2009,"4",12.5
2010,"4",10.3
2011,"4",14.1
2012,"4",8.4
2013,"4",9
2014,"4",12.4
1833,"5",14.9
1834,"5",14.1
1835,"5",11
1836,"5",9.5
1837,"5",9.2
1838,"5",11.7
1839,"5",11
1840,"5",12.1
1841,"5",15.2
1842,"5",12.6
1843,"5",11.3
1844,"5",11
1845,"5",9.4
1846,"5",11.8
1847,"5",13.8
1848,"5",12.8
1849,"5",12.9
1850,"5",10.7
1851,"5",9.9
1852,"5",12
1853,"5",11.6
1854,"5",11.1
1855,"5",9.9
1856,"5",10.5
1857,"5",12.6
1858,"5",10.4
1859,"5",12.4
1860,"5",12.5
1861,"5",10.3
1862,"5",14.3
1863,"5",11.2
1864,"5",11.3
1865,"5",15.3
1866,"5",8.8
1867,"5",12.3
1868,"5",15.4
1869,"5",11.4
1870,"5",11.6
1871,"5",9.7
1872,"5",10.7
1873,"5",9.7
1874,"5",9.5
1875,"5",13.2
1876,"5",8.7
1877,"5",9.8
1878,"5",12.7
1879,"5",9.1
1880,"5",11.3
1881,"5",11.8
1882,"5",12
1883,"5",12.1
1884,"5",12.2
1885,"5",9.4
1886,"5",12.7
1887,"5",9.7
1888,"5",11.1
1889,"5",14.2
1890,"5",13
1891,"5",11
1892,"5",12.8
1893,"5",13.1
1894,"5",10.6
1895,"5",12.1
1896,"5",10.6
1897,"5",10.9
1898,"5",10.7
1899,"5",10.6
1900,"5",10.8
1901,"5",12.2
1902,"5",8.5
1903,"5",12.8
1904,"5",12.2
1905,"5",11.6
1906,"5",12.4
1907,"5",12.5
1908,"5",13.4
1909,"5",11.8
1910,"5",12.3
1911,"5",14
1912,"5",12.9
1913,"5",13.1
1914,"5",11.6
1915,"5",13.4
1916,"5",13.8
1917,"5",15.5
1918,"5",14.8
1919,"5",13.4
1920,"5",13.3
1921,"5",13.6
1922,"5",14.3
1923,"5",10.7
1924,"5",14
1925,"5",13.5
1926,"5",10.7
1927,"5",12.1
1928,"5",10.9
1929,"5",13.2
1930,"5",11.7
1931,"5",14
1932,"5",12.2
1933,"5",12.3
1934,"5",12.1
1935,"5",11
1936,"5",12.9
1937,"5",14.5
1938,"5",11.1
1939,"5",12
1940,"5",13.6
1941,"5",9.8
1942,"5",12.3
1943,"5",13.8
1944,"5",12.2
1945,"5",14.3
1946,"5",12.6
1947,"5",15.8
1948,"5",13.3
1949,"5",11.4
1950,"5",13.6
1951,"5",11.7
1952,"5",14
1953,"5",13.8
1954,"5",12.9
1955,"5",10.8
1956,"5",13.3
1957,"5",10.7
1958,"5",13
1959,"5",13.9
1960,"5",14
1961,"5",11.4
1962,"5",10.2
1963,"5",11.3
1964,"5",15
1965,"5",12.3
1966,"5",13
1967,"5",12.8
1968,"5",11
1969,"5",13.3
1970,"5",13.2
1971,"5",14.8
1972,"5",11.6
1973,"5",12.6
1974,"5",11.9
1975,"5",11.4
1976,"5",14.1
1977,"5",12.1
1978,"5",12.7
1979,"5",12.4
1980,"5",12.5
1981,"5",13.5
1982,"5",13.6
1983,"5",11
1984,"5",10.4
1985,"5",13.6
1986,"5",14
1987,"5",10.6
1988,"5",14.4
1989,"5",15.8
1990,"5",15.3
1991,"5",10.4
1992,"5",15.7
1993,"5",14.9
1994,"5",12.9
1995,"5",13.6
1996,"5",11.1
1997,"5",13.3
1998,"5",15.6
1999,"5",15
2000,"5",15.1
2001,"5",15.1
2002,"5",13.6
2003,"5",13.9
2004,"5",12.8
2005,"5",13.4
2006,"5",14.2
2007,"5",14.6
2008,"5",16.4
2009,"5",14.4
2010,"5",11.2
2011,"5",14.8
2012,"5",14.3
2013,"5",11.1
2014,"5",13.5
1833,"6",16
1834,"6",16.2
1835,"6",15.2
1836,"6",15.9
1837,"6",15.2
1838,"6",14.6
1839,"6",16.3
1840,"6",15
1841,"6",13
1842,"6",15.9
1843,"6",13.5
1844,"6",14.9
1845,"6",15.6
1846,"6",17.9
1847,"6",13.7
1848,"6",15.6
1849,"6",15.3
1850,"6",15.4
1851,"6",15.2
1852,"6",14.3
1853,"6",15.6
1854,"6",13.7
1855,"6",14.4
1856,"6",15.1
1857,"6",16.2
1858,"6",19
1859,"6",16.6
1860,"6",13.9
1861,"6",16.1
1862,"6",13.8
1863,"6",14.9
1864,"6",14.3
1865,"6",14.7
1866,"6",16.6
1867,"6",14.6
1868,"6",16.3
1869,"6",12.2
1870,"6",14.6
1871,"6",12.2
1872,"6",14.7
1873,"6",15
1874,"6",14.6
1875,"6",15
1876,"6",14.6
1877,"6",17.3
1878,"6",15.2
1879,"6",14.7
1880,"6",13.7
1881,"6",14.3
1882,"6",13.1
1883,"6",15.4
1884,"6",12.8
1885,"6",15.4
1886,"6",13.7
1887,"6",14.9
1888,"6",15
1889,"6",17.1
1890,"6",13.5
1891,"6",14.5
1892,"6",14.1
1893,"6",15.4
1894,"6",13.7
1895,"6",15
1896,"6",16.1
1897,"6",16.5
1898,"6",13.9
1899,"6",14.6
1900,"6",15.6
1901,"6",15.1
1902,"6",14.3
1903,"6",14
1904,"6",14.3
1905,"6",16.5
1906,"6",14
1907,"6",13.6
1908,"6",16.4
1909,"6",13.1
1910,"6",16.4
1911,"6",14.7
1912,"6",15.2
1913,"6",14.4
1914,"6",14.4
1915,"6",16.6
1916,"6",12.2
1917,"6",17.5
1918,"6",13.7
1919,"6",15.2
1920,"6",15.3
1921,"6",15.1
1922,"6",15.1
1923,"6",11.5
1924,"6",14.9
1925,"6",14.9
1926,"6",13.4
1927,"6",13.7
1928,"6",14
1929,"6",13.6
1930,"6",17.5
1931,"6",16
1932,"6",15.2
1933,"6",14.9
1934,"6",15.8
1935,"6",16.5
1936,"6",16.4
1937,"6",15.6
1938,"6",15.6
1939,"6",16.3
1940,"6",16.9
1941,"6",17.2
1942,"6",15.3
1943,"6",14.4
1944,"6",14
1945,"6",16.3
1946,"6",13.9
1947,"6",17.8
1948,"6",14.9
1949,"6",14.3
1950,"6",18.1
1951,"6",15.3
1952,"6",15.9
1953,"6",15.2
1954,"6",14.9
1955,"6",15
1956,"6",12.6
1957,"6",16.8
1958,"6",14.8
1959,"6",16.4
1960,"6",16.4
1961,"6",15.3
1962,"6",14.6
1963,"6",15.8
1964,"6",15.8
1965,"6",15.1
1966,"6",16.7
1967,"6",14.8
1968,"6",15.1
1969,"6",15
1970,"6",17.9
1971,"6",14
1972,"6",13.7
1973,"6",16.8
1974,"6",15
1975,"6",15.1
1976,"6",19.3
1977,"6",14
1978,"6",14.9
1979,"6",15.3
1980,"6",14.7
1981,"6",14.7
1982,"6",16.7
1983,"6",16.5
1984,"6",14.5
1985,"6",14.4
1986,"6",17.5
1987,"6",14.3
1988,"6",15.1
1989,"6",16.3
1990,"6",15.4
1991,"6",13.2
1992,"6",16.8
1993,"6",16.7
1994,"6",16.4
1995,"6",15
1996,"6",16.4
1997,"6",16.2
1998,"6",16.3
1999,"6",15.6
2000,"6",16.8
2001,"6",15.7
2002,"6",17.1
2003,"6",19.3
2004,"6",16.3
2005,"6",18.5
2006,"6",17.3
2007,"6",17.5
2008,"6",16.1
2009,"6",16.5
2010,"6",17.4
2011,"6",16.8
2012,"6",15.4
2013,"6",15.8
2014,"6",16.5
1833,"7",15.7
1834,"7",19.1
1835,"7",17.1
1836,"7",16.5
1837,"7",15.6
1838,"7",16.2
1839,"7",16.4
1840,"7",14.6
1841,"7",13.4
1842,"7",15.4
1843,"7",15.5
1844,"7",14.8
1845,"7",15.9
1846,"7",17.9
1847,"7",18
1848,"7",16.1
1849,"7",15.7
1850,"7",15.9
1851,"7",16
1852,"7",19.8
1853,"7",17.2
1854,"7",16.3
1855,"7",16.3
1856,"7",15.2
1857,"7",18
1858,"7",15.7
1859,"7",19.5
1860,"7",14.4
1861,"7",16.2
1862,"7",15.4
1863,"7",15.5
1864,"7",15.7
1865,"7",17.9
1866,"7",15.9
1867,"7",15
1868,"7",18.5
1869,"7",17.4
1870,"7",17.7
1871,"7",16.1
1872,"7",18.2
1873,"7",17.6
1874,"7",18
1875,"7",15.9
1876,"7",17.6
1877,"7",16.3
1878,"7",16
1879,"7",14
1880,"7",16.5
1881,"7",18.1
1882,"7",15.5
1883,"7",15.4
1884,"7",17.8
1885,"7",16.5
1886,"7",16.5
1887,"7",17.7
1888,"7",13.9
1889,"7",15.4
1890,"7",14.7
1891,"7",15.2
1892,"7",15.2
1893,"7",16.9
1894,"7",16.9
1895,"7",15.7
1896,"7",17.4
1897,"7",16.2
1898,"7",14.6
1899,"7",17.1
1900,"7",18.5
1901,"7",18.4
1902,"7",15.4
1903,"7",15.8
1904,"7",18.6
1905,"7",17.8
1906,"7",16.8
1907,"7",13.6
1908,"7",16.8
1909,"7",14.2
1910,"7",15
1911,"7",19.5
1912,"7",18.1
1913,"7",14.3
1914,"7",16.9
1915,"7",15.6
1916,"7",15.5
1917,"7",16.6
1918,"7",16.3
1919,"7",13.5
1920,"7",15.9
1921,"7",19.2
1922,"7",14.8
1923,"7",18.6
1924,"7",16.1
1925,"7",17.3
1926,"7",17.2
1927,"7",17
1928,"7",17.6
1929,"7",17.1
1930,"7",15.4
1931,"7",16.1
1932,"7",17.1
1933,"7",17.8
1934,"7",17.9
1935,"7",17.7
1936,"7",16.1
1937,"7",16.6
1938,"7",15.9
1939,"7",16.6
1940,"7",15.6
1941,"7",18.7
1942,"7",15.9
1943,"7",17.2
1944,"7",16.8
1945,"7",18.2
1946,"7",17.5
1947,"7",18.8
1948,"7",16
1949,"7",18
1950,"7",17.9
1951,"7",16.9
1952,"7",17.9
1953,"7",16.5
1954,"7",14.4
1955,"7",17.5
1956,"7",16.3
1957,"7",17.8
1958,"7",16.6
1959,"7",19.3
1960,"7",15
1961,"7",15.5
1962,"7",15.2
1963,"7",17
1964,"7",17.7
1965,"7",14.4
1966,"7",15.5
1967,"7",18.4
1968,"7",15.9
1969,"7",18.1
1970,"7",15.9
1971,"7",18.4
1972,"7",17.1
1973,"7",17
1974,"7",15.3
1975,"7",18.2
1976,"7",20
1977,"7",16.6
1978,"7",15.6
1979,"7",16.4
1980,"7",15.3
1981,"7",16.5
1982,"7",18.6
1983,"7",21.2
1984,"7",17
1985,"7",18
1986,"7",17.6
1987,"7",17.3
1988,"7",16.1
1989,"7",19
1990,"7",18.1
1991,"7",18.9
1992,"7",18.4
1993,"7",16.7
1994,"7",21.8
1995,"7",20.9
1996,"7",17.1
1997,"7",17.5
1998,"7",16.6
1999,"7",19.7
2000,"7",15.3
2001,"7",18.7
2002,"7",17.8
2003,"7",19.5
2004,"7",17.4
2005,"7",18.3
2006,"7",23
2007,"7",17.2
2008,"7",18
2009,"7",18.7
2010,"7",20.5
2011,"7",16
2012,"7",17.3
2013,"7",20.2
2014,"7",19.3
1833,"8",13.6
1834,"8",18.3
1835,"8",16.8
1836,"8",15.5
1837,"8",17.6
1838,"8",15.1
1839,"8",14.9
1840,"8",16.2
1841,"8",15.3
1842,"8",19.4
1843,"8",17
1844,"8",13.6
1845,"8",13.9
1846,"8",18.7
1847,"8",17.4
1848,"8",15
1849,"8",15.2
1850,"8",15.2
1851,"8",16.6
1852,"8",17.4
1853,"8",16.1
1854,"8",15.8
1855,"8",16.8
1856,"8",18
1857,"8",19
1858,"8",16.5
1859,"8",17.7
1860,"8",14.3
1861,"8",17.3
1862,"8",15.8
1863,"8",17.4
1864,"8",14.7
1865,"8",15.8
1866,"8",14.6
1867,"8",16.7
1868,"8",17.5
1869,"8",14.8
1870,"8",15.3
1871,"8",17.1
1872,"8",16
1873,"8",16.7
1874,"8",15.3
1875,"8",17.3
1876,"8",17.6
1877,"8",16.7
1878,"8",16.7
1879,"8",16.2
1880,"8",17.6
1881,"8",15
1882,"8",14.7
1883,"8",16.2
1884,"8",17.9
1885,"8",14.5
1886,"8",16.2
1887,"8",15.8
1888,"8",14.7
1889,"8",15.2
1890,"8",15.5
1891,"8",14.6
1892,"8",16.9
1893,"8",17.5
1894,"8",15.3
1895,"8",16.1
1896,"8",14.4
1897,"8",17
1898,"8",18.5
1899,"8",17.9
1900,"8",15.6
1901,"8",16.8
1902,"8",15
1903,"8",15.3
1904,"8",16.6
1905,"8",16
1906,"8",17.2
1907,"8",15.8
1908,"8",15.1
1909,"8",17
1910,"8",16
1911,"8",20.9
1912,"8",13.8
1913,"8",15.5
1914,"8",17.6
1915,"8",16
1916,"8",16.7
1917,"8",15.9
1918,"8",16.6
1919,"8",17
1920,"8",14.3
1921,"8",17.2
1922,"8",15
1923,"8",16.3
1924,"8",14.2
1925,"8",15.9
1926,"8",16.5
1927,"8",16.8
1928,"8",16.5
1929,"8",16.6
1930,"8",16.8
1931,"8",15.4
1932,"8",19.6
1933,"8",17.7
1934,"8",16.4
1935,"8",17.2
1936,"8",17.2
1937,"8",17.1
1938,"8",17.6
1939,"8",17.4
1940,"8",15.5
1941,"8",15
1942,"8",18.2
1943,"8",17.1
1944,"8",19.4
1945,"8",16.2
1946,"8",15.4
1947,"8",20.4
1948,"8",16.2
1949,"8",17.4
1950,"8",17.5
1951,"8",16.4
1952,"8",17.3
1953,"8",17
1954,"8",15.9
1955,"8",18
1956,"8",14.4
1957,"8",15.7
1958,"8",17
1959,"8",17.8
1960,"8",16.2
1961,"8",16.5
1962,"8",16
1963,"8",15.3
1964,"8",16.8
1965,"8",15.9
1966,"8",16.1
1967,"8",16.8
1968,"8",16.5
1969,"8",17.2
1970,"8",17.1
1971,"8",17
1972,"8",15.8
1973,"8",18.9
1974,"8",16.9
1975,"8",19.6
1976,"8",18.4
1977,"8",15.9
1978,"8",15.7
